material_id,Date,Demand,Year,Month,mom_growth,yoy_growth,CV,Safety_Stock,Unrestricted,Material_Lead_Time,Moving_price,High_Lead_Time_Flag,Lead_Time_Category,XYZ_Class,Reorder_Point,ABC_Class
558965,2023-10-01,144,2023,Oct,0.0,0.0,0.0,60.0,0.0,17.0,170.0,0,Short,X,141.6,B
559385,2023-10-01,17,2023,Oct,0.0,0.0,0.0,20.0,15.0,17.0,628.43,0,Short,X,29.6333,C
560407,2023-10-01,2813,2023,Oct,0.0,0.0,0.0,1300.0,3750.0,10.0,1.16,0,Short,X,2237.6667,C
560468,2023-10-01,0,2023,Oct,0.0,0.0,0.0,100.0,108.0,50.0,16.61,0,Long,X,100.0,C
560508,2023-10-01,0,2023,Oct,0.0,0.0,0.0,100.0,383.0,17.0,29.57,0,Short,X,100.0,C
560996,2023-10-01,30,2023,Oct,0.0,0.0,0.0,50.0,140.0,38.0,14.24,0,Medium,X,88.0,C
561043,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,2.0,38.0,58850.96,0,Medium,X,2.0,C
561418,2023-10-01,2,2023,Oct,0.0,0.0,0.0,5.0,2.0,50.0,3592.96,0,Long,X,8.3333,C
561712,2023-10-01,1,2023,Oct,0.0,0.0,0.0,1.0,1.0,45.0,124049.52,0,Long,X,2.5,A
561742,2023-10-01,1,2023,Oct,0.0,0.0,0.0,15.0,64.0,18.0,150.0,0,Short,X,15.6,C
562258,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,3.0,65.0,7197.44,1,Long,X,2.0,C
562623,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,24.0,13.0,58.22,0,Short,X,2.0,C
563128,2023-10-01,2,2023,Oct,0.0,0.0,0.0,2.0,0.0,21.0,9000.0,0,Medium,X,3.4,B
563536,2023-10-01,0,2023,Oct,0.0,0.0,0.0,15.0,0.0,31.0,1167.13,0,Medium,X,15.0,C
563624,2023-10-01,2,2023,Oct,0.0,0.0,0.0,3.0,6.0,45.0,69838.96,0,Long,X,6.0,A
563763,2023-10-01,86,2023,Oct,0.0,0.0,0.0,200.0,503.0,31.0,283.17,0,Medium,X,288.8667,B
563783,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,2.0,50.0,31059.43,0,Long,X,2.0,C
564157,2023-10-01,5,2023,Oct,0.0,0.0,0.0,3.0,2.0,13.0,512.5,0,Short,X,5.1667,C
564453,2023-10-01,12,2023,Oct,0.0,0.0,0.0,15.0,13.0,24.0,909.38,0,Medium,X,24.6,C
564906,2023-10-01,0,2023,Oct,0.0,0.0,0.0,20.0,22.0,10.0,50.76,0,Short,X,20.0,C
565197,2023-10-01,8,2023,Oct,0.0,0.0,0.0,2.0,0.85,10.0,782.62,0,Short,X,4.6667,C
565904,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,4.0,1.0,8789.89,0,Short,X,2.0,C
566378,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,1.0,24.0,1039.5,0,Medium,X,2.0,C
566922,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,11.0,48.0,1371.57,0,Long,X,2.0,C
567028,2023-10-01,83,2023,Oct,0.0,0.0,0.0,2.0,197.0,38.0,27.8,0,Medium,X,107.1333,C
567839,2023-10-01,5,2023,Oct,0.0,0.0,0.0,5.0,0.0,38.0,6173.15,0,Medium,X,11.3333,B
568561,2023-10-01,4,2023,Oct,0.0,0.0,0.0,3.0,5.0,31.0,1225.0,0,Medium,X,7.1333,C
569129,2023-10-01,105,2023,Oct,0.0,0.0,0.0,200.0,355.0,31.0,278.74,0,Medium,X,308.5,B
569725,2023-10-01,0,2023,Oct,0.0,0.0,0.0,4.0,19.775,33.0,1096.76,0,Medium,X,4.0,C
569898,2023-10-01,0,2023,Oct,0.0,0.0,0.0,10.0,6.0,18.0,1100.0,0,Short,X,10.0,C
570143,2023-10-01,0,2023,Oct,0.0,0.0,0.0,1.0,6.0,31.0,19708.8,0,Medium,X,1.0,C
570385,2023-10-01,2,2023,Oct,0.0,0.0,0.0,6.0,24.0,24.0,105.16,0,Medium,X,7.6,C
570480,2023-10-01,4,2023,Oct,0.0,0.0,0.0,12.0,23.0,50.0,27749.29,0,Long,X,18.6667,A
570623,2023-10-01,124,2023,Oct,0.0,0.0,0.0,10.0,186.0,31.0,1093.14,0,Medium,X,138.1333,A
570804,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,2.0,4.0,56893.69,0,Short,X,2.0,C
571711,2023-10-01,70,2023,Oct,0.0,0.0,0.0,200.0,575.0,10.0,3.79,0,Short,X,223.3333,C
572569,2023-10-01,0,2023,Oct,0.0,0.0,0.0,1.0,3.0,18.0,1255.0,0,Short,X,1.0,C
572737,2023-10-01,0,2023,Oct,0.0,0.0,0.0,100.0,0.0,14.0,85.0,0,Short,X,100.0,C
573183,2023-10-01,1,2023,Oct,0.0,0.0,0.0,10.0,16.0,28.0,3.96,0,Medium,X,10.9333,C
573512,2023-10-01,2,2023,Oct,0.0,0.0,0.0,2.0,0.0,50.0,16105.48,0,Long,X,5.3333,B
573844,2023-10-01,0,2023,Oct,0.0,0.0,0.0,1.0,4.0,52.0,320219.73,0,Long,X,1.0,C
575067,2023-10-01,0,2023,Oct,0.0,0.0,0.0,10.0,18.0,50.0,68.67,0,Long,X,10.0,C
575179,2023-10-01,3,2023,Oct,0.0,0.0,0.0,10.0,85.0,48.0,231.92,0,Long,X,14.8,C
575354,2023-10-01,108,2023,Oct,0.0,0.0,0.0,100.0,155.0,67.0,28.86,1,Long,X,341.2,C
576930,2023-10-01,120,2023,Oct,0.0,0.0,0.0,10.0,2.0,14.0,2225.59,0,Short,X,66.0,A
577224,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,2.0,45.0,34315.22,0,Long,X,2.0,C
577566,2023-10-01,0,2023,Oct,0.0,0.0,0.0,300.0,325.0,38.0,310.22,0,Medium,X,300.0,C
577867,2023-10-01,9,2023,Oct,0.0,0.0,0.0,200.0,843.81,67.0,7.94,1,Long,X,220.1,C
578004,2023-10-01,0,2023,Oct,0.0,0.0,0.0,8.0,11.0,1.0,4674.74,0,Short,X,8.0,C
578101,2023-10-01,4,2023,Oct,0.0,0.0,0.0,5.0,8.0,50.0,54093.1,0,Long,X,11.6667,A
578509,2023-10-01,3,2023,Oct,0.0,0.0,0.0,10.0,27.0,38.0,6514.49,0,Medium,X,13.8,B
578735,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,12.0,17.0,935.0,0,Short,X,2.0,C
578981,2023-10-01,1,2023,Oct,0.0,0.0,0.0,8.0,0.0,67.0,241233.47,1,Long,X,10.2333,A
579113,2023-10-01,2,2023,Oct,0.0,0.0,0.0,10.0,43.0,67.0,2428.06,1,Long,X,14.4667,C
579763,2023-10-01,4,2023,Oct,0.0,0.0,0.0,50.0,122.0,18.0,4.02,0,Short,X,52.4,C
580317,2023-10-01,7,2023,Oct,0.0,0.0,0.0,5.0,23.0,23.0,145.16,0,Medium,X,10.3667,C
580796,2023-10-01,1,2023,Oct,0.0,0.0,0.0,10.0,27.0,18.0,1479.96,0,Short,X,10.6,C
580885,2023-10-01,2,2023,Oct,0.0,0.0,0.0,10.0,14.941,10.0,1712.54,0,Short,X,10.6667,C
580955,2023-10-01,250,2023,Oct,0.0,0.0,0.0,500.0,877.0,33.0,29.47,0,Medium,X,775.0,C
580965,2023-10-01,63,2023,Oct,0.0,0.0,0.0,200.0,256.0,60.0,58.36,1,Long,X,326.0,C
582016,2023-10-01,2,2023,Oct,0.0,0.0,0.0,4.0,30.0,10.0,114.87,0,Short,X,4.6667,C
582090,2023-10-01,0,2023,Oct,0.0,0.0,0.0,4.0,25.0,8.0,4368.97,0,Short,X,4.0,C
582310,2023-10-01,1,2023,Oct,0.0,0.0,0.0,100.0,126.0,13.0,3.5,0,Short,X,100.4333,C
582480,2023-10-01,45,2023,Oct,0.0,0.0,0.0,450.0,384.0,10.0,6.25,0,Short,X,465.0,C
582817,2023-10-01,0,2023,Oct,0.0,0.0,0.0,6.0,29.0,33.0,390.0,0,Medium,X,6.0,C
582968,2023-10-01,0,2023,Oct,0.0,0.0,0.0,36.0,57.0,50.0,28.49,0,Long,X,36.0,C
582969,2023-10-01,0,2023,Oct,0.0,0.0,0.0,4.0,2.0,77.0,17451.16,1,Long,X,4.0,C
583097,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,2.0,17.0,5191.41,0,Short,X,2.0,C
583761,2023-10-01,0,2023,Oct,0.0,0.0,0.0,10.0,0.0,42.0,6684.39,0,Medium,X,10.0,C
584020,2023-10-01,15,2023,Oct,0.0,0.0,0.0,300.0,860.3,67.0,10.31,1,Long,X,333.5,C
584200,2023-10-01,3,2023,Oct,0.0,0.0,0.0,10.0,19.0,48.0,210.0,0,Long,X,14.8,C
585628,2023-10-01,16,2023,Oct,0.0,0.0,0.0,25.0,25.0,48.0,448.0,0,Long,X,50.6,C
585877,2023-10-01,2,2023,Oct,0.0,0.0,0.0,4.0,23.0,18.0,452.8,0,Short,X,5.2,C
586339,2023-10-01,2,2023,Oct,0.0,0.0,0.0,10.0,37.0,10.0,43.18,0,Short,X,10.6667,C
586642,2023-10-01,0,2023,Oct,0.0,0.0,0.0,4.0,4.0,33.0,321.95,0,Medium,X,4.0,C
586814,2023-10-01,660,2023,Oct,0.0,0.0,0.0,300.0,1097.96,67.0,10.68,1,Long,X,1774.0,C
586825,2023-10-01,0,2023,Oct,0.0,0.0,0.0,1.0,3.0,31.0,38611.76,0,Medium,X,1.0,C
587295,2023-10-01,0,2023,Oct,0.0,0.0,0.0,10.0,23.0,18.0,360.0,0,Short,X,10.0,C
587531,2023-10-01,0,2023,Oct,0.0,0.0,0.0,5.0,0.0,24.0,840.0,0,Medium,X,5.0,C
587966,2023-10-01,0,2023,Oct,0.0,0.0,0.0,1.0,9.0,31.0,2281.66,0,Medium,X,1.0,C
588085,2023-10-01,0,2023,Oct,0.0,0.0,0.0,1.0,7.0,17.0,3825.0,0,Short,X,1.0,C
588246,2023-10-01,13,2023,Oct,0.0,0.0,0.0,50.0,152.0,18.0,160.4,0,Short,X,57.8,C
588289,2023-10-01,1,2023,Oct,0.0,0.0,0.0,20.0,40.0,77.0,1566.62,1,Long,X,22.5667,C
588439,2023-10-01,0,2023,Oct,0.0,0.0,0.0,1.0,2.0,31.0,15958.0,0,Medium,X,1.0,C
588745,2023-10-01,1,2023,Oct,0.0,0.0,0.0,15.0,72.0,17.0,135.0,0,Short,X,15.5667,C
589441,2023-10-01,6,2023,Oct,0.0,0.0,0.0,10.0,6.0,38.0,55.39,0,Medium,X,17.6,C
589498,2023-10-01,1,2023,Oct,0.0,0.0,0.0,5.0,7.0,38.0,22363.25,0,Medium,X,6.2667,B
589880,2023-10-01,0,2023,Oct,0.0,0.0,0.0,10.0,0.0,38.0,224.33,0,Medium,X,10.0,C
590403,2023-10-01,0,2023,Oct,0.0,0.0,0.0,1.0,1.0,31.0,5168.62,0,Medium,X,1.0,C
590562,2023-10-01,10,2023,Oct,0.0,0.0,0.0,6.0,16.0,8.0,3363.99,0,Short,X,8.6667,B
590637,2023-10-01,0,2023,Oct,0.0,0.0,0.0,5.0,4.0,67.0,264.92,1,Long,X,5.0,C
590902,2023-10-01,1,2023,Oct,0.0,0.0,0.0,2.0,2.0,28.0,41500.0,0,Medium,X,2.9333,B
591317,2023-10-01,2,2023,Oct,0.0,0.0,0.0,2.0,0.0,77.0,12280.28,1,Long,X,7.1333,B
591431,2023-10-01,21,2023,Oct,0.0,0.0,0.0,10.0,44.0,18.0,366.95,0,Short,X,22.6,C
592321,2023-10-01,22,2023,Oct,0.0,0.0,0.0,5.0,0.0,33.0,674.65,0,Medium,X,29.2,C
593077,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,7.0,10.0,458.29,0,Short,X,2.0,C
593286,2023-10-01,78,2023,Oct,0.0,0.0,0.0,100.0,81.0,31.0,37.0,0,Medium,X,180.6,C
593535,2023-10-01,31,2023,Oct,0.0,0.0,0.0,30.0,41.0,20.0,700.4,0,Short,X,50.6667,B
593979,2023-10-01,0,2023,Oct,0.0,0.0,0.0,4.0,6.0,33.0,63.0,0,Medium,X,4.0,C
594371,2023-10-01,17,2023,Oct,0.0,0.0,0.0,3.0,4.0,38.0,44785.69,0,Medium,X,24.5333,A
594520,2023-10-01,11,2023,Oct,0.0,0.0,0.0,25.0,1.0,50.0,2177.89,0,Long,X,43.3333,B
595121,2023-10-01,0,2023,Oct,0.0,0.0,0.0,10.0,23.0,33.0,1470.0,0,Medium,X,10.0,C
595336,2023-10-01,97,2023,Oct,0.0,0.0,0.0,150.0,363.0,48.0,67.15,0,Long,X,305.2,C
595936,2023-10-01,8,2023,Oct,0.0,0.0,0.0,10.0,21.0,10.0,3902.67,0,Short,X,12.6667,B
596440,2023-10-01,664,2023,Oct,0.0,0.0,0.0,300.0,720.663,67.0,10.85,1,Long,X,1782.9333,C
596479,2023-10-01,2,2023,Oct,0.0,0.0,0.0,2.0,4.0,18.0,950.0,0,Short,X,3.2,C
